,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
360,AGLDUSDT,BNBUSDT,0.02,-3.65,-3.37,0.0,63
281,BNBUSDT,BTCUSDT,0.02,-3.62,-3.37,0.01,54
95,LTCUSDT,DGBUSDT,0.02,-3.73,-3.37,5111.19,54
56,LTCUSDT,FTTUSDT,0.0,-4.68,-3.37,2.02,51
84,LTCUSDT,XNOUSDT,0.02,-3.6,-3.37,59.82,48
378,ILVUSDT,FITFIUSDT,0.0,-4.31,-3.37,1037.5,45
35,XRPUSDT,10000NFTUSDT,0.01,-3.97,-3.37,58.42,44
462,CREAMUSDT,LINKUSDT,0.03,-3.57,-3.37,2.54,44
463,CREAMUSDT,DOTUSDT,0.04,-3.42,-3.37,2.4,44
136,ADAUSDT,BNBUSDT,0.04,-3.46,-3.37,0.0,44
101,LTCUSDT,ONTUSDT,0.02,-3.68,-3.37,217.53,44
86,LTCUSDT,JSTUSDT,0.0,-4.44,-3.37,1887.27,44
79,LTCUSDT,XMRUSDT,0.04,-3.38,-3.37,0.36,44
50,LTCUSDT,DOTUSDT,0.01,-3.91,-3.37,7.43,44
179,ADAUSDT,CKBUSDT,0.01,-3.83,-3.37,110.97,44
48,LTCUSDT,BTCUSDT,0.02,-3.71,-3.37,0.0,43
99,LTCUSDT,DARUSDT,0.0,-4.5,-3.37,209.52,43
404,STXUSDT,HBARUSDT,0.04,-3.43,-3.37,5.79,41
28,XRPUSDT,CHRUSDT,0.05,-3.38,-3.37,1.98,41
366,AGLDUSDT,BSWUSDT,0.0,-5.02,-3.37,1.16,40
125,LINKUSDT,OGNUSDT,0.0,-4.28,-3.37,37.99,40
316,FTMUSDT,ENJUSDT,0.0,-4.39,-3.37,0.54,40
137,ADAUSDT,XLMUSDT,0.03,-3.5,-3.37,4.19,40
74,LTCUSDT,LITUSDT,0.03,-3.49,-3.37,72.63,40
284,FILUSDT,SOLUSDT,0.03,-3.5,-3.37,0.18,40
288,FILUSDT,IMXUSDT,0.0,-4.23,-3.37,7.34,40
469,JASMYUSDT,ILVUSDT,0.03,-3.48,-3.37,0.0,39
335,NEARUSDT,RSRUSDT,0.0,-5.88,-3.37,696.86,39
204,UNIUSDT,FITFIUSDT,0.0,-4.18,-3.37,80.19,39
78,LTCUSDT,KLAYUSDT,0.01,-3.94,-3.37,221.57,39
194,ADAUSDT,BAKEUSDT,0.02,-3.64,-3.37,1.72,38
364,AGLDUSDT,REQUSDT,0.01,-4.08,-3.37,3.18,38
258,MATICUSDT,1000BTTUSDT,0.04,-3.41,-3.37,901.82,37
250,MATICUSDT,10000NFTUSDT,0.01,-3.97,-3.37,137.99,37
92,LTCUSDT,CTSIUSDT,0.04,-3.46,-3.37,364.47,37
287,FILUSDT,FLOWUSDT,0.02,-3.69,-3.37,2.98,37
183,ADAUSDT,1000BTTUSDT,0.03,-3.55,-3.37,511.96,36
65,LTCUSDT,ENSUSDT,0.0,-4.84,-3.37,4.19,36
397,CVCUSDT,STORJUSDT,0.0,-4.15,-3.37,0.26,36
472,JASMYUSDT,REQUSDT,0.03,-3.48,-3.37,0.08,36
38,XRPUSDT,CKBUSDT,0.03,-3.5,-3.37,82.74,35
375,ILVUSDT,ASTRUSDT,0.0,-4.85,-3.37,2226.67,35
249,MATICUSDT,LOOKSUSDT,0.04,-3.39,-3.37,2.96,35
269,MATICUSDT,DODOUSDT,0.02,-3.65,-3.37,5.91,35
323,FTMUSDT,CTSIUSDT,0.04,-3.4,-3.37,1.98,35
