,SUSHIUSDT,WAVESUSDT,Spread,Zscore,HedgeRatio
0,4.68,10.007,3.2790199999999996,,0.14
1,4.803,10.566,3.3237599999999996,,0.14
2,4.961,11.084,3.4092400000000005,,0.14
3,4.645,10.533,3.1703799999999998,,0.14
4,4.758,12.002,3.07772,,0.14
5,4.407,10.963,2.87218,,0.14
6,4.095,9.825,2.7195,,0.14
7,4.154,9.539,2.8185399999999996,,0.14
8,4.034,9.388,2.7196799999999994,,0.14
9,4.062,9.342,2.7541200000000003,,0.14
10,4.428,10.387,2.97382,,0.14
11,4.299,10.558,2.8208800000000003,,0.14
12,3.946,9.926,2.5563599999999997,,0.14
13,3.899,10.02,2.4962,,0.14
14,3.866,9.686,2.50996,,0.14
15,3.634,9.344,2.32584,,0.14
16,3.27,8.532,2.07552,,0.14
17,3.393,8.958,2.1388799999999994,,0.14
18,3.279,9.286,1.9789599999999998,,0.14
19,3.14,9.529,1.80594,,0.14
20,3.303,10.548,1.8262799999999997,-1.6991541036385527,0.14
21,3.252,12.247,1.5374199999999996,-1.9818138454260679,0.14
22,3.122,11.22,1.5511999999999997,-1.7434660517731475,0.14
23,3.538,16.275,1.2594999999999996,-2.024979221642226,0.14
24,3.474,17.444,1.0318400000000003,-2.0917334768916365,0.14
25,3.408,17.916,0.8997599999999997,-1.9984953498121445,0.14
26,3.309,18.317,0.7446199999999998,-1.9296870395910284,0.14
27,3.042,18.442,0.4601199999999994,-1.9920572100336098,0.14
28,3.104,17.26,0.6875999999999998,-1.5118496876315652,0.14
29,2.902,17.805,0.4093,-1.6525656517649738,0.14
30,2.879,22.552,-0.2782800000000001,-2.1147743584255627,0.14
31,2.899,22.344,-0.22916000000000025,-1.8305129524828292,0.14
32,3.184,28.441,-0.7977400000000001,-2.1049130837152252,0.14
33,2.983,27.325,-0.8425000000000002,-1.8766721107929354,0.14
34,2.896,25.383,-0.6576200000000001,-1.5287330427910355,0.14
35,2.909,26.7,-0.8290000000000006,-1.5284501652632438,0.14
36,2.787,26.603,-0.9374200000000008,-1.4759686499974394,0.14
37,2.891,26.491,-0.8177400000000001,-1.243920897376177,0.14
38,2.92,28.031,-1.0043400000000005,-1.299754867013445,0.14
39,3.11,28.471,-0.8759400000000004,-1.0848591545187314,0.14
40,3.166,28.178,-0.7789200000000007,-0.9088433826229863,0.14
41,3.304,32.701,-1.2741400000000005,-1.3146303731966413,0.14
42,3.352,32.571,-1.2079400000000002,-1.1540088693595438,0.14
