,XRPUSDT,SFPUSDT,Spread,Zscore,HedgeRatio
0,0.373,0.4155,-0.017569999999999975,,0.94
1,0.3714,0.412,-0.01587999999999995,,0.94
2,0.3744,0.4174,-0.017955999999999972,,0.94
3,0.3741,0.4165,-0.01740999999999998,,0.94
4,0.3754,0.4197,-0.01911799999999997,,0.94
5,0.3782,0.4224,-0.018855999999999984,,0.94
6,0.3768,0.4183,-0.016401999999999972,,0.94
7,0.376,0.4178,-0.01673199999999997,,0.94
8,0.376,0.417,-0.01597999999999994,,0.94
9,0.3753,0.4171,-0.016773999999999956,,0.94
10,0.374,0.4157,-0.016757999999999995,,0.94
11,0.3779,0.413,-0.01031999999999994,,0.94
12,0.3783,0.4193,-0.015841999999999967,,0.94
13,0.3797,0.4174,-0.012656,,0.94
14,0.3774,0.4172,-0.014768000000000003,,0.94
15,0.3757,0.4134,-0.012895999999999963,,0.94
16,0.3728,0.4154,-0.01767599999999997,,0.94
17,0.3782,0.4127,-0.009738000000000024,,0.94
18,0.3759,0.4114,-0.010815999999999937,,0.94
19,0.3749,0.415,-0.015199999999999936,,0.94
20,0.3764,0.4149,-0.013605999999999951,0.6476929107362491,0.94
21,0.3759,0.4146,-0.013824000000000003,0.5080740709531694,0.94
22,0.377,0.4217,-0.01939799999999997,-1.410192810532716,0.94
23,0.3773,0.4208,-0.018251999999999935,-0.9993276100193216,0.94
24,0.3778,0.42,-0.01699999999999996,-0.572797347802274,0.94
25,0.3759,0.4167,-0.01579799999999998,-0.2174722450882408,0.94
26,0.379,0.4144,-0.01053599999999999,1.5386871392175647,0.94
27,0.3759,0.4144,-0.013635999999999981,0.3766155142380747,0.94
28,0.377,0.4186,-0.016484,-0.6606168433220385,0.94
29,0.3776,0.4173,-0.014662000000000008,-0.02195271038183054,0.94
30,0.3788,0.4171,-0.013273999999999953,0.4292959890418493,0.94
31,0.377,0.4152,-0.013287999999999967,0.3689459801136548,0.94
32,0.3778,0.417,-0.014179999999999915,0.10935673192126086,0.94
33,0.3781,0.4186,-0.015384000000000009,-0.38185470349162126,0.94
34,0.3786,0.4156,-0.01206400000000002,0.9294513426942482,0.94
35,0.3788,0.4155,-0.011769999999999947,0.9655393155161776,0.94
36,0.3805,0.4158,-0.010351999999999972,1.4008518363877358,0.94
37,0.3864,0.4203,-0.008681999999999968,1.780102381169522,0.94
38,0.3895,0.4181,-0.003514000000000017,2.8230415618740334,0.94
39,0.3866,0.4204,-0.008575999999999973,1.3064493365690542,0.94
40,0.3884,0.4245,-0.010629999999999917,0.676014049638087,0.94
41,0.3897,0.425,-0.009799999999999975,0.8387441400909091,0.94
42,0.3911,0.4258,-0.009151999999999993,0.9329645575607579,0.94
43,0.3906,0.4258,-0.009651999999999994,0.7318929630223813,0.94
44,0.3827,0.414,-0.006459999999999966,1.5108314870255706,0.94
45,0.3813,0.4161,-0.00983400000000001,0.45929176760394425,0.94
46,0.3819,0.4181,-0.011114000000000013,-0.005430084845918011,0.94
47,0.3819,0.4149,-0.008105999999999947,0.9167924415804809,0.94
48,0.3812,0.4135,-0.007489999999999997,1.0113113918674577,0.94
49,0.3759,0.4055,-0.005269999999999997,1.5852742008774214,0.94
50,0.3747,0.3976,0.0009560000000000124,2.763703486258301,0.94
51,0.3736,0.397,0.00041999999999997595,2.181080910957048,0.94
52,0.374,0.3984,-0.0004959999999999409,1.7240068070458971,0.94
53,0.3747,0.4018,-0.0029919999999999947,1.0632103040838472,0.94
54,0.3755,0.4023,-0.002661999999999942,1.0627037587966683,0.94
55,0.3762,0.4022,-0.0018679999999999808,1.1449713802861858,0.94
56,0.3781,0.4002,0.0019120000000000248,1.8207121766621224,0.94
57,0.3836,0.403,0.0047800000000000065,2.0980996261551472,0.94
58,0.3811,0.3964,0.008484000000000047,2.3255039949864487,0.94
59,0.3809,0.3954,0.009224000000000065,2.0698521696617465,0.94
60,0.3813,0.3949,0.010093999999999992,1.8924283924546004,0.94
61,0.3819,0.3974,0.008344000000000074,1.467528580285022,0.94
62,0.3833,0.3987,0.008521999999999974,1.3469012020976214,0.94
