,XRPUSDT,XEMUSDT,Spread,Zscore
0,0.3796,0.0538,-0.017444000000000015,
1,0.3805,0.0545,-0.021710000000000007,
2,0.3824,0.0546,-0.02054800000000001,
3,0.3841,0.0549,-0.02106199999999997,
4,0.3838,0.0546,-0.019148000000000054,
5,0.3844,0.0547,-0.01928599999999997,
6,0.3853,0.0545,-0.016910000000000036,
7,0.3771,0.0532,-0.015515999999999974,
8,0.3745,0.0533,-0.018853999999999982,
9,0.3721,0.0526,-0.01608799999999999,
10,0.3746,0.0525,-0.012849999999999973,
11,0.3752,0.0527,-0.013726000000000016,
12,0.373,0.0521,-0.011498000000000008,
13,0.3714,0.052,-0.012359999999999982,
14,0.3744,0.0526,-0.013787999999999967,
15,0.3741,0.0524,-0.012612000000000012,
16,0.3754,0.0527,-0.013525999999999982,
17,0.3782,0.0532,-0.014415999999999984,
18,0.3768,0.0528,-0.012863999999999987,
19,0.376,0.0527,-0.012925999999999993,
20,0.376,0.0528,-0.01366400000000001,0.6475450244392783
21,0.3753,0.053,-0.015839999999999965,-0.05128359518359542
22,0.374,0.0531,-0.017878000000000005,-0.811406673076325
23,0.3779,0.0528,-0.011763999999999997,1.1801480509818825
24,0.3783,0.0531,-0.013577999999999979,0.46343962589111765
25,0.3797,0.0531,-0.012178000000000022,0.9608620278349648
26,0.3774,0.053,-0.013739999999999974,0.19057936497565034
27,0.3757,0.0524,-0.011012000000000022,1.4071449346780376
28,0.3728,0.0526,-0.015387999999999957,-0.7738643837972051
29,0.3782,0.0522,-0.007036000000000042,2.8636099580991274
30,0.3759,0.0522,-0.009336000000000011,1.6146248052406205
31,0.3749,0.0519,-0.008122000000000018,1.860209124667106
32,0.3764,0.0521,-0.008097999999999994,1.6396219369670764
33,0.3759,0.0521,-0.008597999999999995,1.3369672824876309
34,0.377,0.0524,-0.009711999999999998,0.8735050821374173
35,0.3773,0.0521,-0.007197999999999982,1.5528502287159047
36,0.3778,0.0523,-0.008173999999999959,1.1218664038619852
37,0.3759,0.052,-0.007859999999999978,1.1091471523840613
38,0.379,0.0518,-0.003284000000000009,2.126382577634963
39,0.3759,0.0513,-0.002693999999999974,1.9458989335354582
40,0.377,0.0516,-0.003807999999999978,1.4784233620660865
41,0.3776,0.0513,-0.0009939999999999949,1.8584890261238964
42,0.3788,0.0513,0.00020600000000003948,1.8719732799634192
43,0.377,0.0513,-0.0015939999999999843,1.4058499606734849
44,0.3778,0.0516,-0.003007999999999955,0.9868929208728036
45,0.3781,0.0518,-0.004184000000000021,0.6483863741426166
46,0.3786,0.0515,-0.0014699999999999713,1.170985920771048
47,0.3788,0.0516,-0.0020079999999999543,0.9682473444907828
48,0.3805,0.0521,-0.0039980000000000016,0.4025610087496775
49,0.3864,0.0524,-0.00031199999999997896,1.3812063149619753
50,0.3895,0.0521,0.0050020000000000064,2.396542904157651
51,0.3866,0.0525,-0.0008499999999999619,0.8001574598418497
52,0.3884,0.0527,-0.0005259999999999709,0.8045873774782928
53,0.3897,0.0529,-0.0007020000000000359,0.6815957417326115
54,0.3911,0.0532,-0.0015159999999999618,0.3816007507013785
55,0.3906,0.0534,-0.003491999999999995,-0.3356663827653121
56,0.3827,0.052,-0.0010600000000000054,0.41370315319717876
57,0.3813,0.0521,-0.003198000000000034,-0.5066880268381723
58,0.3819,0.0522,-0.0033360000000000056,-0.7728227261348604
59,0.3819,0.052,-0.0018599999999999728,-0.08633208196441466
60,0.3812,0.0519,-0.0018220000000000458,-0.08864326849237766
61,0.3759,0.0512,-0.0019560000000000133,-0.20563621042926028
62,0.3747,0.0509,-0.0009419999999999984,0.31437562960758697
63,0.3736,0.0509,-0.0020419999999999883,-0.20014625911290693
64,0.374,0.0511,-0.0031180000000000097,-0.7169539660433879
65,0.3747,0.0507,0.0005339999999999789,1.0658825397806484
66,0.3755,0.0506,0.0020720000000000183,1.6485725742505193
67,0.3762,0.0507,0.0020339999999999803,1.4588014742084265
68,0.3781,0.0503,0.006886000000000003,2.7478562278215115
69,0.3836,0.0507,0.009433999999999998,2.768359288274514
70,0.3811,0.0502,0.010623999999999967,2.4522688724231254
71,0.3809,0.0503,0.009686000000000028,1.994887825035409
72,0.3813,0.0503,0.010085999999999984,1.7987857703073316
73,0.3819,0.0506,0.008472000000000035,1.3232882896534586
74,0.3833,0.0508,0.008396000000000015,1.1849626321048794
75,0.3815,0.0506,0.008072000000000024,1.0218219074003774
76,0.3786,0.0505,0.005909999999999971,0.5533017543867369
77,0.3779,0.0503,0.006686000000000025,0.6337900785331099
78,0.3767,0.0504,0.0047479999999999745,0.20022517275267518
79,0.3766,0.0502,0.006123999999999963,0.4042179032133241
80,0.3783,0.0504,0.00634800000000002,0.3844042557655611
81,0.3787,0.0506,0.005271999999999999,0.08080015821170379
82,0.3777,0.0505,0.005009999999999959,-0.0596334820357285
83,0.3783,0.0507,0.0041340000000000265,-0.3564493474494384
84,0.3822,0.0507,0.008033999999999986,0.6000107907514985
85,0.3835,0.0508,0.008596000000000048,0.7451595331312034
86,0.38,0.0507,0.005834000000000006,-0.39312228199845417
87,0.3789,0.0506,0.005472000000000032,-0.6736865783965957
88,0.3803,0.0508,0.005396000000000067,-0.8922626355081462
89,0.3789,0.0505,0.006209999999999993,-0.4484239835826497
90,0.3788,0.0504,0.006848000000000021,-0.05539128999982359
91,0.3801,0.0504,0.008147999999999989,0.7863669624470798
92,0.3807,0.0504,0.008747999999999978,1.2220496474721911
93,0.3829,0.0504,0.010948000000000013,2.4219514808195166
94,0.3823,0.0504,0.010347999999999968,1.8687783248586909
95,0.3823,0.0501,0.012561999999999962,2.482768423824355
96,0.3744,0.05,0.005400000000000016,-0.7183390894767845
